epoch,learning_rate,total_loss,action_loss,utility_loss,pairwise_loss,mix_loss,action_accuracy,stop_frequency,average_predicted_utility,validation_state_total_loss,validation_state_action_loss,validation_state_utility_loss,validation_state_pairwise_loss,validation_state_mix_loss,validation_state_action_accuracy,validation_state_stop_frequency,validation_state_average_predicted_utility,validation_deployable_validation_mae,validation_deployable_validation_oracle_mae,validation_deployable_validation_regret_to_oracle,validation_deployable_action_accuracy,validation_deployable_average_experts_selected,validation_deployable_stop_frequency,validation_deployable_stop_step_distribution,validation_deployable_selection_counts,validation_deployable_average_predicted_utility_by_step,validation_deployable_better_of_top_two_accuracy
1,0.001,1.5282194630088193,0.9615695350528983,0.01484252171635381,0.6396951848741746,0.4238683888811166,0.5834601802530953,0.7001187287187554,-0.0010108246111446657,1.759158908640191,1.2230459801719007,0.01885913560990408,0.730593203039776,0.37113516462957685,0.40252854807536326,0.5442495920724231,0.0018000173614911893,0.36971479654312134,0.31814324855804443,0.051571547985076904,0.16802610456943512,1.732463295269168,1.0,"{""1"": 175, ""2"": 427, ""3"": 11}","{""0"": 345, ""1"": 0, ""2"": 40, ""3"": 215, ""4"": 13}","[-0.4150703668497126, 0.0960236161971559, -0.000908892958948057, 0.0]",0.4931506849315068
2,0.001,1.3697547070061469,0.833927309867294,0.0074859672601171896,0.5587428192713757,0.416592868621095,0.646325499240329,0.612837920174968,0.013234519276085694,1.910091452653023,1.3609624461287582,0.012670396482283295,0.8271185497086355,0.37103490830440117,0.42261419254453886,0.5046390700495846,0.010999217574738367,0.36362501978874207,0.31814324855804443,0.04548177123069763,0.2300163060426712,1.504078303425775,1.0,"{""1"": 304, ""2"": 309}","{""0"": 431, ""1"": 0, ""2"": 0, ""3"": 167, ""4"": 15}","[-0.2746304974421786, 0.0622829446541738, 0.0]",0.5825242718446602
3,0.001,1.2673377929753462,0.7443478724983222,0.007731535741891503,0.5120813607937292,0.41284211034375284,0.6878957622990746,0.5646005844524066,0.012176665358601027,2.12888776380903,1.5547993025616371,0.009509691768014411,0.9569491727511606,0.37318894743530434,0.4227671286799196,0.5159563619588755,0.02578796491294273,0.36490026116371155,0.31814324855804443,0.046757012605667114,0.22349102795124054,1.4600326264274062,1.0,"{""1"": 331, ""2"": 282}","{""0"": 536, ""1"": 0, ""2"": 0, ""3"": 70, ""4"": 7}","[-0.21776761196031072, 0.06268959837626867, 0.0]",0.5780141843971631
4,0.001,1.164637337471878,0.6515130247654012,0.007692668040333379,0.47507516072252814,0.41041661410638314,0.7337128592013616,0.5422704578520203,0.010297327929780185,2.127392554166461,1.549413098013226,0.008494390382888753,0.9726780520761188,0.3749495046562705,0.4303629690535111,0.5670880914512311,0.04249921104404316,0.36472147703170776,0.31814324855804443,0.04657822847366333,0.2202283889055252,1.4845024469820554,1.0,"{""1"": 316, ""2"": 297}","{""0"": 519, ""1"": 0, ""2"": 2, ""3"": 78, ""4"": 14}","[-0.3303903484470887, 0.10647931273230526, 0.0]",0.5892255892255892
5,0.001,1.0714593040496039,0.567569307565573,0.006949259623743619,0.4407032247699881,0.40880009185031047,0.7747199221233362,0.5264856308422842,0.009757688824671215,2.378328014548023,1.7863654382466103,0.008036543095566418,1.038465499683461,0.3762329353982823,0.4253670472110854,0.5715742252195835,0.026256975151148745,0.36643528938293457,0.31814324855804443,0.04829204082489014,0.21370309591293335,1.504078303425775,1.0,"{""1"": 304, ""2"": 309}","{""0"": 522, ""1"": 0, ""2"": 8, ""3"": 73, ""4"": 10}","[-0.3766552010037576, 0.11696743771895693, 0.0]",0.5825242718446602
6,0.0005,0.9970232707607531,0.5003788224006361,0.005753247024690124,0.4148944347037145,0.40791231415588797,0.8043564296732632,0.517885411621824,0.007036887528216017,2.467086721983469,1.8644829224217774,0.005666677265763769,1.0908325659703664,0.3787706087891857,0.4269473898858075,0.5519473899830418,0.008928424535929963,0.37201929092407227,0.31814324855804443,0.05387604236602783,0.22349102795124054,1.8776508972267536,1.0,"{""1"": 100, ""2"": 488, ""3"": 25}","{""0"": 445, ""1"": 0, ""2"": 77, ""3"": 70, ""4"": 21}","[-0.45088838004365833, 0.10796953016378556, 0.0015520929534997624, 0.0]",0.49122807017543857
7,0.0005,0.925589216783229,0.43571846910760975,0.004863135022629747,0.3895038393318392,0.4071068461354744,0.8331405260594252,0.511690209420553,0.007142662723932943,2.5969473946152855,1.986610597731822,0.0056942342784328664,1.1301608060351398,0.3786103855727353,0.41899469825416363,0.5250815660685155,0.009237379084841074,0.36690646409988403,0.31814324855804443,0.0487632155418396,0.2251223474740982,2.0130505709624797,1.0,"{""1"": 48, ""2"": 509, ""3"": 56}","{""0"": 490, ""1"": 0, ""2"": 53, ""3"": 61, ""4"": 9}","[-0.4453275958243241, 0.13217240286957577, 0.006993321006276966, 0.0]",0.5327433628318584
8,0.0005,0.8874137740104998,0.4008094216926006,0.004359072925776054,0.37743783466013475,0.4067577088802429,0.8472357525282004,0.5087372137753486,0.007246894184549879,2.6306308443744655,2.0120443558809615,0.00512612834466442,1.167739574710852,0.3799124660052444,0.41593597063621535,0.5273756116482795,-0.00025649656971603584,0.37692785263061523,0.31814324855804443,0.0587846040725708,0.21696573495864868,1.9902120717781402,1.0,"{""1"": 75, ""2"": 469, ""3"": 69}","{""0"": 403, ""1"": 0, ""2"": 110, ""3"": 88, ""4"": 12}","[-0.41244089180454735, 0.10403417499939535, 0.010332873471939874, 0.0]",0.5204460966542751
9,0.0005,0.8568088103664601,0.3730641076376655,0.004066033931984351,0.36632178984382824,0.4064143059082979,0.8564905016757892,0.5067736239794458,0.006441623357798736,2.658901187373997,2.0367886973438605,0.004629927476545945,1.192093949139021,0.37906372367266145,0.4257748776508972,0.5397634584985394,0.015817218604474822,0.37509357929229736,0.31814324855804443,0.05695033073425293,0.21696573495864868,1.9429037520391517,1.0,"{""1"": 89, ""2"": 472, ""3"": 50, ""4"": 2}","{""0"": 391, ""1"": 5, ""2"": 98, ""3"": 100, ""4"": 19}","[-0.39275343864426915, 0.10320861423676787, 0.009910158656594408, 0.0026760948105500294, 0.0]",0.5038167938931297
10,0.00025,0.8311969876231302,0.3495345135839521,0.0037953887549644046,0.3581331269774737,0.4062404556356868,0.8647862883875327,0.5032422065560666,0.007353297158253742,2.830753081385502,2.1947500526807824,0.004416078215519644,1.2553233170781595,0.3805222958083254,0.4119086460518798,0.5032116638505634,0.0069822653259042815,0.37970858812332153,0.31814324855804443,0.0615653395652771,0.21696573495864868,2.0309951060358893,1.0,"{""1"": 78, ""2"": 441, ""3"": 91, ""4"": 3}","{""0"": 356, ""1"": 2, ""2"": 149, ""3"": 90, ""4"": 16}","[-0.3963689525014619, 0.09634428924681895, 0.012391197124374247, 0.0023995960487964304, 0.0]",0.4803738317757009
